Entry	Entry Name	Gene Names	Length	Gene Ontology (cellular component)
Q08558	DCI1_YEAST	DCI1 ECI2 EHD2 YOR180C	271	cytoplasm [GO:0005737]; peroxisomal matrix [GO:0005782]
Q08561	IES4_YEAST	IES4 YOR189W	116	Ino80 complex [GO:0031011]; nucleus [GO:0005634]
Q08562	ULS1_YEAST	ULS1 DIS1 RIS1 TID4 YOR191W	1619	cytoplasm [GO:0005737]; kinetochore [GO:0000776]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleus [GO:0005634]
Q08581	SLK19_YEAST	SLK19 YOR195W	821	kinetochore [GO:0000776]; microtubule [GO:0005874]; spindle [GO:0005819]; spindle midzone [GO:0051233]; spindle pole body [GO:0005816]
Q08601	MCA1_YEAST	MCA1 YCA1 YOR197W	432	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
Q08641	AB140_YEAST	ABP140 TRM140 YOR239W YOR240W	628	actin filament [GO:0005884]; actin filament bundle [GO:0032432]; cytoplasm [GO:0005737]; mating projection tip [GO:0043332]
Q08645	FOLE_YEAST	MET7 MET23 YOR241W O5248	548	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q08647	PUS7_YEAST	PUS7 YOR243C O5254	676	box H/ACA snoRNP complex [GO:0031429]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q08649	ESA1_YEAST	ESA1 YOR244W O5257	445	chromatin [GO:0000785]; NuA4 histone acetyltransferase complex [GO:0035267]; nucleosome [GO:0000786]; nucleus [GO:0005634]; piccolo histone acetyltransferase complex [GO:0032777]
Q08650	DGAT2_YEAST	DGA1 YOR245C	418	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; lipid droplet [GO:0005811]; membrane [GO:0016020]
Q08651	ENV9_YEAST	ENV9 YOR246C	330	lipid droplet [GO:0005811]; membrane [GO:0016020]; mitochondrion [GO:0005739]; vacuole [GO:0005773]
Q08683	APC5_YEAST	APC5 RMC1 YOR249C	685	anaphase-promoting complex [GO:0005680]; nucleus [GO:0005634]
Q08685	CLP1_YEAST	CLP1 YOR250C	445	mRNA cleavage factor complex [GO:0005849]; nucleus [GO:0005634]
Q08686	THTR_YEAST	TUM1 YOR251C	304	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]
Q08689	NAT5_YEAST	NAT5 YOR253W	176	NatA complex [GO:0031415]
Q08702	APTX_YEAST	HNT3 YOR258W	217	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q08723	RPN8_YEAST	RPN8 YOR261C O5360	338	proteasome complex [GO:0000502]; proteasome regulatory particle, lid subcomplex [GO:0008541]; proteasome storage granule [GO:0034515]
Q08746	RRS1_YEAST	RRS1 YOR294W	203	nuclear periphery [GO:0034399]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; preribosome, large subunit precursor [GO:0030687]
Q08747	UAF30_YEAST	UAF30 YOR295W	228	nucleolus [GO:0005730]; nucleus [GO:0005634]; RNA polymerase I upstream activating factor complex [GO:0000500]
Q08749	TIM18_YEAST	TIM18 YOR297C	192	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; TIM22 mitochondrial import inner membrane insertion complex [GO:0042721]
Q08754	BUD7_YEAST	BUD7 YOR299W	746	exomer complex [GO:0034044]; trans-Golgi network transport vesicle [GO:0030140]
Q08760	RAX1_YEAST	RAX1 YOR301W	435	cellular bud neck [GO:0005935]; cellular bud scar [GO:0005621]; cellular bud tip [GO:0005934]; fungal-type vacuole [GO:0000324]; plasma membrane [GO:0005886]
Q08773	ISW2_YEAST	ISW2 YOR304W	1120	CHRAC [GO:0008623]; chromatin [GO:0000785]; chromosome, telomeric region [GO:0000781]; nuclear microtubule [GO:0005880]; nucleus [GO:0005634]
Q08816	TFB6_YEAST	TFB6 YOR352W	343	cytoplasm [GO:0005737]; nucleus [GO:0005634]; transcription factor TFIIH holo complex [GO:0005675]
Q08826	SNX3_YEAST	SNX3 GRD19 YOR357C	162	cytosol [GO:0005829]; early endosome membrane [GO:0031901]; endosome [GO:0005768]; fungal-type vacuole membrane [GO:0000329]; Golgi membrane [GO:0000139]; protein-lipid complex [GO:0032994]; retromer complex [GO:0030904]
Q08831	VTS1_YEAST	VTS1 YOR359W	523	cytosol [GO:0005829]; nucleus [GO:0005634]; P-body [GO:0000932]
Q08873	SCP1_YEAST	SCP1 YOR367W	200	actin cortical patch [GO:0030479]; actin cytoskeleton [GO:0015629]
Q08886	GPB1_YEAST	GPB1 KRH2 YOR371C	897	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
Q08887	NDD1_YEAST	NDD1 YOR372C	554	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q08905	FRE3_YEAST	FRE3 YOR381W O6754	711	fungal-type vacuole [GO:0000324]; plasma membrane [GO:0005886]
Q08920	NCBP2_YEAST	CBC2 CBP20 MUD13 SAE1 YPL178W	208	commitment complex [GO:0000243]; nuclear cap binding complex [GO:0005846]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]
Q08921	TCO89_YEAST	TCO89 YPL180W	799	fungal-type vacuole membrane [GO:0000329]; plasma membrane [GO:0005886]; TORC1 complex [GO:0031931]
Q08923	CTI6_YEAST	CTI6 RXT1 YPL181W	506	nucleus [GO:0005634]; Rpd3L complex [GO:0033698]; Rpd3L-Expanded complex [GO:0070210]
Q08924	WDR6_YEAST	RTT10 ERE2 TRM734 YPL183C	1013	cytoplasm [GO:0005737]; endosome [GO:0005768]
Q08925	MRN1_YEAST	MRN1 PTR69 YPL184C	612	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; nucleus [GO:0005634]; P-body [GO:0000932]
Q08930	YP191_YEAST	YPL191C	360	cell periphery [GO:0071944]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]
Q08931	PRM3_YEAST	PRM3 YPL192C	133	nuclear envelope [GO:0005635]; nuclear outer membrane [GO:0005640]; nuclear periphery [GO:0034399]; spindle pole body [GO:0005816]
Q08949	DDC1_YEAST	DDC1 YPL194W	612	checkpoint clamp complex [GO:0030896]; condensed nuclear chromosome [GO:0000794]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q08951	AP3D_YEAST	APL5 YKS4 YPL195W	932	AP-3 adaptor complex [GO:0030123]; clathrin-coated vesicle membrane [GO:0030665]; endosome membrane [GO:0010008]; Golgi apparatus [GO:0005794]
Q08955	CSM4_YEAST	CSM4 YPL200W	156	chromosome, telomeric region [GO:0000781]; endoplasmic reticulum membrane [GO:0005789]; meiotic nuclear membrane microtubule tethering complex [GO:0034993]; nuclear outer membrane [GO:0005640]
Q08957	AFT2_YEAST	AFT2 YPL202C	416	mitochondrion [GO:0005739]; nucleus [GO:0005634]
Q08959	PGC1_YEAST	PGC1 YPL206C	321	lipid droplet [GO:0005811]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]
Q08960	TYW1_YEAST	TYW1 YPL207W	810	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]
Q08962	NIP7_YEAST	NIP7 YPL211W	181	cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleus [GO:0005634]; preribosome, large subunit precursor [GO:0030687]
Q08963	RU2A_YEAST	LEA1 YPL213W	238	cytoplasm [GO:0005737]; nucleus [GO:0005634]; Prp19 complex [GO:0000974]; spliceosomal complex [GO:0005681]; U2 snRNP [GO:0005686]; U2-type prespliceosome [GO:0071004]
Q08965	BMS1_YEAST	BMS1 YPL217C	1183	90S preribosome [GO:0030686]; cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; small-subunit processome [GO:0032040]
Q08967	FLC1_YEAST	FLC1 BOP1 HUF1 YPL221W	793	cellular bud neck [GO:0005935]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; fungal-type vacuole [GO:0000324]; membrane [GO:0016020]
Q08968	SELO_YEAST	FMP40 YPL222W	688	mitochondrion [GO:0005739]
Q08972	NEW1_YEAST	NEW1 YPL226W P1445	1196	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
Q08975	THI21_YEAST	THI21 YPL258C	551	cytosol [GO:0005829]
Q08985	SAM4_YEAST	SAM4 YPL273W	325	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q08986	SAM3_YEAST	SAM3 YPL274W	587	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; plasma membrane [GO:0005886]
Q08992	HSP32_YEAST	HSP32 YPL280W	237	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; P-body [GO:0000932]
Q10740	LKHA4_YEAST	LAP2 YNL045W N2535	671	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
Q12003	ENV7_YEAST	ENV7 YPL236C	364	cytoplasm [GO:0005737]; fungal-type vacuole membrane [GO:0000329]; Golgi apparatus [GO:0005794]
Q12004	TFB4_YEAST	TFB4 YPR056W	338	nucleotide-excision repair factor 3 complex [GO:0000112]; transcription factor TFIIH core complex [GO:0000439]; transcription factor TFIIH holo complex [GO:0005675]
Q12006	PFA4_YEAST	PFA4 YOL003C UNE378	378	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]
Q12009	TRMB_YEAST	TRM8 YDL201W D1075	286	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; tRNA (m7G46) methyltransferase complex [GO:0106143]; tRNA methyltransferase complex [GO:0043527]
Q12010	YPQ1_YEAST	YPQ1 YOL092W O0929	308	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; fungal-type vacuole membrane [GO:0000329]; membrane [GO:0016020]
Q12015	DSC3_YEAST	DSC3 YOR223W YOR50-13	292	Dsc E3 ubiquitin ligase complex [GO:0044695]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; fungal-type vacuole lumen [GO:0000328]; Golgi membrane [GO:0000139]
Q12017	PLP2_YEAST	PLP2 VIAF1 YOR281C	286	cytoplasm [GO:0005737]
Q12018	CDC53_YEAST	CDC53 YDL132W D2190	815	chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; SCF ubiquitin ligase complex [GO:0019005]
Q12019	MDN1_YEAST	MDN1 REA1 YLR106C L2901 L8004.13	4910	mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q12024	YTM1_YEAST	YTM1 YOR272W	460	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PeBoW complex [GO:0070545]; preribosome, large subunit precursor [GO:0030687]
Q12028	AP1G1_YEAST	APL4 YPR029C	832	AP-1 adaptor complex [GO:0030121]; cytosol [GO:0005829]; Golgi membrane [GO:0000139]
Q12030	TAF10_YEAST	TAF10 TAF23 TAF25 YDR167W YD9489.02	206	nucleus [GO:0005634]; SAGA complex [GO:0000124]; SLIK (SAGA-like) complex [GO:0046695]; transcription factor TFIID complex [GO:0005669]
Q12033	PALA_YEAST	RIM20 YOR275C	661	cytoplasm [GO:0005737]; endosome [GO:0005768]; nucleus [GO:0005634]; peroxisome [GO:0005777]
Q12038	SRO7_YEAST	SRO7 SNI1 SOP1 YPR032W YP9367.12	1033	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mating projection tip [GO:0043332]; plasma membrane [GO:0005886]
Q12039	HMI1_YEAST	HMI1 YOL095C O0920	706	mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
Q12041	MET32_YEAST	MET32 YDR253C YD9320A.03C	191	cytoplasm [GO:0005737]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]
Q12043	TGL5_YEAST	TGL5 STC2 YOR081C YOR29-32 YOR2964C	749	lipid droplet [GO:0005811]
Q12045	VIK1_YEAST	VIK1 YPL253C	647	kinesin complex [GO:0005871]; nucleus [GO:0005634]; spindle pole body [GO:0005816]
Q12046	CWC2_YEAST	CWC2 NTC40 SLC3 YDL209C D1041	339	Prp19 complex [GO:0000974]; U2-type catalytic step 1 spliceosome [GO:0071006]; U2-type catalytic step 2 spliceosome [GO:0071007]
Q12048	ATG41_YEAST	ATG41 ICY2 YPL250C	136	phagophore assembly site membrane [GO:0034045]
Q12049	THP3_YEAST	THP3 YPR045C YP9499.03c	470	euchromatin [GO:0000791]; nucleus [GO:0005634]
Q12050	ELG1_YEAST	ELG1 RTT110 YOR144C O3510 YOR3510C	791	chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; Elg1 RFC-like complex [GO:0031391]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
Q12051	GGPPS_YEAST	BTS1 YPL069C	335	mitochondrion [GO:0005739]
Q12052	TGS1_YEAST	TGS1 YPL157W P2573	315	nucleolus [GO:0005730]; nucleus [GO:0005634]
Q12055	KAD6_YEAST	FAP7 YDL166C	197	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; nucleus [GO:0005634]
Q12056	ISU2_YEAST	ISU2 NUA2 YOR226C	156	cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]
Q12060	HFI1_YEAST	HFI1 ADA1 GAN1 SUP110 YPL254W	488	nucleus [GO:0005634]; SAGA complex [GO:0000124]; SLIK (SAGA-like) complex [GO:0046695]
Q12063	UPPS_YEAST	NUS1 YDL193W D1239	375	dehydrodolichyl diphosphate synthase complex [GO:1904423]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; lipid droplet [GO:0005811]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]
Q12068	GRE2_YEAST	GRE2 YOL151W	342	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q12071	VPS54_YEAST	VPS54 CGP1 LUV1 RKI1 TCS3 YDR027C PZF889 YD9813.05C	889	cytosol [GO:0005829]; endosome membrane [GO:0010008]; GARP complex [GO:0000938]; Golgi apparatus [GO:0005794]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]
Q12080	NOP53_YEAST	NOP53 YPL146C LPI2C P2610	455	nuclear exosome (RNase complex) [GO:0000176]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q12082	DMO2_YEAST	DMO2 DBI1 YDL157C D1533	118	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; peroxisome [GO:0005777]
Q12083	MLH3_YEAST	MLH3 YPL164C P2550	715	mismatch repair complex [GO:0032300]; MutLgamma complex [GO:0097587]; nucleus [GO:0005634]
Q12088	YL11B_YEAST	TY1B-LR1 YLRCTy1-1 POL YLR035C-A L1807	1755	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q12092	ATG29_YEAST	ATG29 YPL166W P2540	213	Atg1/ULK1 kinase complex [GO:1990316]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; phagophore assembly site [GO:0000407]; protein-containing complex [GO:0032991]
Q12093	MTU1_YEAST	SLM3 MTO2 MTU1 YDL033C D2761	417	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q12094	TSR3_YEAST	TSR3 YOR006C UND313	313	cytoplasm [GO:0005737]; nucleus [GO:0005634]; peroxisome [GO:0005777]
Q12098	SLX4_YEAST	SLX4 YLR135W L3140	748	cytoplasm [GO:0005737]; endonuclease complex [GO:1905348]; nuclear chromosome [GO:0000228]; nucleus [GO:0005634]; Slx1-Slx4 complex [GO:0033557]
Q12099	FAL1_YEAST	FAL1 YDR021W PZC399 YD9335.07	399	catalytic step 2 spliceosome [GO:0071013]; FAL1-SGD1 complex [GO:0097078]; nucleolus [GO:0005730]; preribosome, small subunit precursor [GO:0030688]; small-subunit processome [GO:0032040]
Q12100	RTK1_YEAST	RTK1 YDL025C D2810	620	cell periphery [GO:0071944]; cellular bud neck [GO:0005935]
Q12102	CFT2_YEAST	CFT2 YDH1 YLR115W L2946	859	mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; nucleus [GO:0005634]
Q12106	MCP1_YEAST	MCP1 YOR228C YOR50-18	302	mitochondrial membrane [GO:0031966]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]
Q12112	YN11B_YEAST	TY1B-NL1 YNLCTy1-1 POL YNL284C-B N0564	1755	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q12113	YO21B_YEAST	TY2B-OR1 YORCTy2-1 POL YOR192C-B O4785	1770	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q12114	CHS5_YEAST	CHS5 CAL3 YLR330W L8543.18	671	cytoplasm [GO:0005737]; cytosol [GO:0005829]; exomer complex [GO:0034044]; mating projection tip [GO:0043332]; trans-Golgi network [GO:0005802]
Q12118	SGT2_YEAST	SGT2 YOR007C UNF346	346	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; TRC complex [GO:0072380]
Q12123	DCS2_YEAST	DCS2 YOR173W O3625	353	cytoplasm [GO:0005737]; nucleus [GO:0005634]; P-body [GO:0000932]; perinuclear region of cytoplasm [GO:0048471]
Q12124	MED2_YEAST	MED2 YDL005C D2930	431	core mediator complex [GO:0070847]; cytosol [GO:0005829]; mediator complex [GO:0016592]; nucleus [GO:0005634]
Q12127	CCW12_YEAST	CCW12 YLR110C L9354.7	133	cell periphery [GO:0071944]; cellular bud tip [GO:0005934]; fungal-type cell wall [GO:0009277]; fungal-type vacuole [GO:0000324]; mating projection tip [GO:0043332]; side of membrane [GO:0098552]
Q12136	SAS10_YEAST	SAS10 UTP3 YDL153C D1545	610	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; small-subunit processome [GO:0032040]
Q12141	YG11B_YEAST	TY1B-GR1 YGRWTy1-1 POL YGR027W-B G4054	1755	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q12142	ATG9_YEAST	ATG9 APG9 AUT9 CVT7 YDL149W D1560	997	autophagosome [GO:0005776]; cytoplasmic vesicle membrane [GO:0030659]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; phagophore [GO:0061908]; phagophore assembly site [GO:0000407]; phagophore assembly site membrane [GO:0034045]
Q12143	NSL1_YEAST	NSL1 YPL233W	216	kinetochore [GO:0000776]; MIS12/MIND type complex [GO:0000444]; nucleus [GO:0005634]; outer kinetochore [GO:0000940]; spindle pole [GO:0000922]
Q12146	PSF3_YEAST	PSF3 YOL146W	194	CMG complex [GO:0071162]; DNA replication preinitiation complex [GO:0031261]; GINS complex [GO:0000811]; nuclear replication fork [GO:0043596]; nucleus [GO:0005634]
Q12149	RRP6_YEAST	RRP6 UNC733 YOR001W	733	exosome (RNase complex) [GO:0000178]; nuclear exosome (RNase complex) [GO:0000176]; nucleolus [GO:0005730]; nucleus [GO:0005634]
Q12150	CSF1_YEAST	CSF1 TWEEK YLR087C	2958	endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-plasma membrane contact site [GO:0140268]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
Q12151	UPC2_YEAST	UPC2 MOX4 YDR213W YD8142.14 YD8142B.05	913	cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]
Q12154	GET3_YEAST	GET3 ARR4 YDL100C D2371	354	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; GET complex [GO:0043529]; Golgi apparatus [GO:0005794]
Q12156	AIM7_YEAST	AIM7 YDR063W D4245	149	actin cortical patch [GO:0030479]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q12157	APC11_YEAST	APC11 YDL008W D2900	165	anaphase-promoting complex [GO:0005680]; nucleus [GO:0005634]
Q12158	SCC1_YEAST	MCD1 PDS3 RHC21 SCC1 YDL003W YD8119.04	566	chromosome, centromeric region [GO:0000775]; condensed nuclear chromosome [GO:0000794]; mitochondrion [GO:0005739]; mitotic cohesin complex [GO:0030892]; nucleus [GO:0005634]
Q12159	YRA1_YEAST	YRA1 YDR381W D9481.2 D9509.1	226	nucleus [GO:0005634]; transcription export complex [GO:0000346]
Q12161	PSH1_YEAST	PSH1 YOL054W O1263	406	chromosome, centromeric region [GO:0000775]; nucleus [GO:0005634]
Q12164	POM33_YEAST	POM33 YLL023C L1201	279	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; nuclear envelope [GO:0005635]; nuclear outer membrane [GO:0005640]; nuclear pore [GO:0005643]
Q12166	LEU9_YEAST	LEU9 YOR108W YOR3227w	604	mitochondrion [GO:0005739]
Q12168	ENG2_YEAST	ACF2 ENG2 PCA1 YLR144C L3180	779	cell surface [GO:0009986]; cytoplasm [GO:0005737]
Q12173	YG31A_YEAST	TY3A-G YGRWTy3-1 GAG YGR109W-A G5982	290	cytoplasm [GO:0005737]; retrotransposon nucleocapsid [GO:0000943]
Q12176	MAK21_YEAST	MAK21 NOC1 YDR060W D4237 YD9609.14	1025	Noc1p-Noc2p complex [GO:0030690]; nucleolus [GO:0005730]; nucleus [GO:0005634]; preribosome, large subunit precursor [GO:0030687]
Q12178	FCY1_YEAST	FCY1 YPR062W YP9499.17	158	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q12181	NDOR1_YEAST	TAH18 YPR048W YP9499.06	623	cytosol [GO:0005829]; cytosolic [4Fe-4S] assembly targeting complex [GO:0097361]; mitochondrion [GO:0005739]
Q12184	ADRX_YEAST	YAH1 YPL252C	172	iron-sulfur cluster assembly complex [GO:1990229]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q12186	BBP_YEAST	MSL5 BBP SF1 YLR116W L2949	476	commitment complex [GO:0000243]; cytosol [GO:0005829]; nucleus [GO:0005634]
Q12188	REC8_YEAST	REC8 SPO69 YPR007C LPZ7C	680	chromosome, centromeric region [GO:0000775]; cohesin complex [GO:0008278]; condensed chromosome, centromeric region [GO:0000779]; condensed nuclear chromosome [GO:0000794]; meiotic cohesin complex [GO:0030893]; nucleus [GO:0005634]
Q12191	BUG1_YEAST	BUG1 YDL099W	341	cis-Golgi network [GO:0005801]; cis-Golgi network membrane [GO:0033106]; COPII vesicles tethering complex [GO:0106103]; cytoplasm [GO:0005737]
Q12193	YB12B_YEAST	TY1B-BR YBRWTy1-2 POL YBR012W-B YBR0207	1756	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q12196	RIO1_YEAST	RIO1 RRP10 YOR119C O3266 YOR3266C	484	cytoplasm [GO:0005737]; cytosol [GO:0005829]; fungal-type vacuole [GO:0000324]; kinetochore [GO:0000776]; mitochondrion [GO:0005739]; nucleolar chromatin [GO:0030874]; nucleus [GO:0005634]; preribosome, small subunit precursor [GO:0030688]
Q12198	METW_YEAST	HSU1 YLL058W L0569	575	cytoplasm [GO:0005737]
Q12200	NPC1_YEAST	NCR1 YPL006W	1170	endoplasmic reticulum [GO:0005783]; fungal-type vacuole membrane [GO:0000329]; membrane [GO:0016020]
Q12206	WTM2_YEAST	WTM2 YOR229W YOR50-19	467	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; Rpd3L complex [GO:0033698]; Rpd3L-Expanded complex [GO:0070210]
Q12207	NCE2_YEAST	NCE102 NCE2 RTG2S2 YPR149W P9659.2	173	cell periphery [GO:0071944]; cellular bud membrane [GO:0033101]; cytoplasm [GO:0005737]; eisosome [GO:0032126]; endoplasmic reticulum [GO:0005783]; mating projection membrane [GO:0070250]; membrane [GO:0016020]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
Q12208	USB1_YEAST	USB1 YLR132C L3127	290	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
Q12211	PUS1_YEAST	PUS1 YPL212C	544	nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q12213	RL7B_YEAST	RPL7B RPL6B YL8B YPL198W	244	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; nucleolus [GO:0005730]
Q12216	SIZ2_YEAST	NFI1 SIZ2 YOR156C	726	chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q12220	UTP12_YEAST	DIP2 UTP12 YLR129W L3116 L9233.1	943	90S preribosome [GO:0030686]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; Pwp2p-containing subcomplex of 90S preribosome [GO:0034388]; small-subunit processome [GO:0032040]
Q12223	RAD59_YEAST	RAD59 YDL059C	238	cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; nucleus [GO:0005634]
Q12224	RLM1_YEAST	RLM1 YPL089C LPG19C	676	nucleus [GO:0005634]
Q12229	UBX3_YEAST	UBX3 YDL091C	455	clathrin-coated vesicle [GO:0030136]; cytoplasm [GO:0005737]; Dsc E3 ubiquitin ligase complex [GO:0044695]; endoplasmic reticulum [GO:0005783]; Golgi membrane [GO:0000139]
Q12230	LSP1_YEAST	LSP1 YPL004C	341	cell periphery [GO:0071944]; cytoplasm [GO:0005737]; eisosome [GO:0032126]; eisosome filament [GO:0036286]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
Q12236	PKH2_YEAST	PKH2 YOL100W HRC1081	1081	cell cortex [GO:0005938]; eisosome [GO:0032126]; nucleus [GO:0005634]
Q12241	VAM3_YEAST	VAM3 PTH1 YOR106W YOR3220W	283	autophagosome membrane [GO:0000421]; endomembrane system [GO:0012505]; fungal-type vacuole membrane [GO:0000329]; SNARE complex [GO:0031201]; vacuolar membrane [GO:0005774]
Q12242	RUP1_YEAST	RUP1 YOR138C YOR3332c	671	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q12245	POC4_YEAST	POC4 DMP1 YPL144W	148	cytoplasm [GO:0005737]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]
Q12246	LCB4_YEAST	LCB4 YOR171C O3615	624	cell periphery [GO:0071944]; cortical endoplasmic reticulum [GO:0032541]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; late endosome membrane [GO:0031902]; membrane [GO:0016020]; plasma membrane [GO:0005886]
Q12248	DAD1_YEAST	DAD1 YDR016C	94	DASH complex [GO:0042729]; mitotic spindle [GO:0072686]; mitotic spindle pole body [GO:0044732]; spindle microtubule [GO:0005876]
Q12250	RPN5_YEAST	RPN5 NAS5 YDL147W D1572	445	COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737]; proteasome complex [GO:0000502]; proteasome regulatory particle, lid subcomplex [GO:0008541]; proteasome storage granule [GO:0034515]
Q12255	NYV1_YEAST	NYV1 MAM2 YLR093C	253	fungal-type vacuole membrane [GO:0000329]; plasma membrane [GO:0005886]; SNARE complex [GO:0031201]; vacuolar membrane [GO:0005774]
Q12256	TPO4_YEAST	TPO4 YOR273C O5440	659	cell periphery [GO:0071944]; fungal-type vacuole membrane [GO:0000329]; plasma membrane [GO:0005886]
Q12259	YL108_YEAST	YLR108C L2913	485	nucleus [GO:0005634]
Q12262	CENPH_YEAST	MCM16 YPR046W	181	kinetochore [GO:0000776]; nucleus [GO:0005634]
